"rule","level","file","line","msg"
"javascript.express.security.audit.xss.direct-response-write.direct-response-write","warning","apps\backend\src\controllers\analysis.controller.ts","242","Detected directly writing to a Response object from user-defined input. This bypasses any HTML escaping and may expose your application to a Cross-Site-scripting (XSS) vulnerability. Instead, use 'resp.render()' to render safely escaped HTML."
"configs.http-without-tls","warning","apps\backend\src\modules\art-director\plugins\mr-previz-studio\operations.ts","375","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.insecure-random","warning","apps\backend\src\modules\decoupage\repository.ts","24","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\backend\src\ocr-arabic-pdf-to-txt-pipeline\mcp-server\text-helpers.ts","158","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\backend\src\services\breakdown\utils.ts","93","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\backend\src\services\guardian\assumption-engine.ts","241","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\backend\src\services\guardian\evidence-ledger.ts","197","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\backend\src\services\rag\__tests__\semanticChunker.test.ts","61","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\app\(main)\actorai-arabic\components\studio\useRecording.ts","56","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\app\(main)\actorai-arabic\features\memorization\index.tsx","49","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\app\(main)\arabic-creative-writing-studio\hooks\useWritingEditorSupport.ts","30","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.http-without-tls","warning","apps\web\src\app\(main)\art-director\plugins\mr-previz-studio\index.ts","309","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.insecure-random","warning","apps\web\src\app\(main)\breakdown\application\workspace\use-toast-queue.ts","97","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\app\(main)\directors-studio\decoupage\hooks\useImages.ts","84","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.http-without-tls","warning","apps\web\src\app\(main)\directors-studio\director_copilot_arabic_mvp_runtime_pack\backend\app\services\storage.py","98","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\directors-studio\director_copilot_arabic_mvp_runtime_pack\backend\app\services\storage.py","104","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"javascript.lang.security.detect-child-process.detect-child-process","error","apps\web\src\app\(main)\editor\scripts\run-workflow-md.mjs","13","Detected calls to child_process from a function argument `command`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
"javascript.lang.security.detect-child-process.detect-child-process","error","apps\web\src\app\(main)\editor\server\karank-bridge.mjs","136","Detected calls to child_process from a function argument `candidate`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
"configs.http-without-tls","warning","apps\web\src\app\(main)\editor\server\karank_engine\engine\ts_bridge.py","26","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.insecure-random","warning","apps\web\src\app\(main)\editor\server\lib\utils.mjs","168","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"javascript.express.security.cors-misconfiguration.cors-misconfiguration","warning","apps\web\src\app\(main)\editor\server\middlewares\cors.mjs","27","By letting user input control CORS parameters, there is a risk that software does not properly verify that the source of data or communication is valid. Use literal values for CORS settings."
"configs.insecure-random","warning","apps\web\src\app\(main)\editor\src\extensions\paste-classifier-helpers.ts","46","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\app\(main)\editor\src\extensions\pipeline-recorder\recorder.ts","45","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\app\(main)\editor\src\lib\app\handlers.ts","59","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\LightingStudio.tsx","227","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\Spinner.tsx","12","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","11","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","28","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","47","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","65","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","83","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","98","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","118","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","135","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","152","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","170","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","188","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","205","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","222","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","241","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","260","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\app\(main)\styleIST\components\icons.tsx","278","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.insecure-random","warning","apps\web\src\app\(main)\ui\pages\AnalysisPage.tsx","325","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\app\(main)\ui\pages\AnalysisPage.tsx","343","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\app\(main)\ui\pages\AnalysisPage.tsx","343","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\app\(main)\ui\pages\AnalysisPage.tsx","343","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.http-without-tls","warning","apps\web\src\app\api\public\analysis\seven-stations\route.test.ts","17","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\components\IntroVideoModal.tsx","83","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.http-without-tls","warning","apps\web\src\components\aceternity\background-beams.tsx","26","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.insecure-random","warning","apps\web\src\components\aceternity\noise-background.tsx","20","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\aceternity\noise-background.tsx","21","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.http-without-tls","warning","apps\web\src\components\editors\EncryptedScreenplayEditor.tsx","271","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.insecure-random","warning","apps\web\src\components\particle-background.tsx","92","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\particle-background.tsx","93","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\particle-background.tsx","94","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.http-without-tls","warning","apps\web\src\components\shared\IntroVideoModal.tsx","83","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"configs.insecure-random","warning","apps\web\src\components\shared\particle-background.tsx","86","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\shared\particle-background.tsx","87","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\shared\particle-background.tsx","88","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\shared\stations-pipeline.tsx","57","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\shared\unified-file-upload.tsx","111","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\stations-pipeline.tsx","114","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\ui\dotted-glow-background.tsx","75","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\ui\dotted-glow-background.tsx","77","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\ui\infinite-canvas.tsx","407","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\ui\infinite-canvas.tsx","409","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\ui\infinite-canvas.tsx","409","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\ui\infinite-canvas.tsx","410","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\ui\notification-center.tsx","293","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\ui\spatial-scene-planner\hooks\use-spatial-scene.ts","129","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\ui\spatial-scene-planner\hooks\use-spatial-scene.ts","131","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\components\ui\spatial-scene-planner\hooks\use-spatial-scene.ts","138","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\hooks\use-notifications.ts","21","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\ai\stations\station3-inference-engines.ts","344","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\animations.ts","288","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\animations.ts","289","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\animations.ts","290","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\animations.ts","299","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\animations.ts","300","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\crypto\documentService.ts","275","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\drama-analyst\services\errorHandler.ts","416","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\drama-analyst\services\observability.ts","345","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-batch-generator.ts","82","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-batch-generator.ts","83","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-batch-generator.ts","84","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-batch-generator.ts","125","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-batch-generator.ts","126","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-batch-generator.ts","127","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-batch-generator.ts","143","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-system.ts","129","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-system.ts","130","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-system.ts","137","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-system.ts","138","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-system.ts","140","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-system.ts","141","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-system.ts","244","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\particle-system.ts","254","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\lib\safe-error-text.ts","15","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\workers\particle-generator\particleGen.ts","23","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\workers\particle-generator\particleGen.ts","24","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\workers\particle-generator\particleGen.ts","25","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\workers\particle-generator\particleGen.ts","47","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\workers\particle-generator\particleGen.ts","48","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\workers\particle-generator\particleGen.ts","49","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","apps\web\src\workers\particle-generator\particleGen.ts","65","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","packages\api-client\src\server.ts","19","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.insecure-random","warning","packages\security-middleware\src\server.ts","33","استخدام Math.random غير آمن للأغراض الأمنية. استخدم crypto.randomBytes"
"configs.http-without-tls","warning","qa\integration\foundation-integration.test.ts","150","استخدام HTTP بدلاً من HTTPS لطلب خارجي"
"javascript.lang.security.detect-child-process.detect-child-process","error","scripts\agent\plan-implementation-reviewer.ts","340","Detected calls to child_process from a function argument `args`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
"javascript.lang.security.detect-child-process.detect-child-process","error","scripts\apply-autofix.mjs","17","Detected calls to child_process from a function argument `cmd`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
"javascript.lang.security.detect-child-process.detect-child-process","error","scripts\qa\run-all-foundation-tests.js","19","Detected calls to child_process from a function argument `command`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
"javascript.lang.security.detect-child-process.detect-child-process","error","scripts\qa\run-e2e-tests.js","19","Detected calls to child_process from a function argument `command`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
"javascript.lang.security.detect-child-process.detect-child-process","error","scripts\qa\run-integration-tests.js","19","Detected calls to child_process from a function argument `command`. This could lead to a command injection if the input is user controllable. Try to avoid calls to child_process, and if it is needed ensure user input is correctly sanitized or sandboxed. "
